duration_s,start_row,end_row,method,distance_m,endpoint_error_m,drift_percent,sequence
15,26097,26247,constant_speed_with_gyro,115.6973888888889,4.942706646015986,4.272098699446676,S1
15,26097,26247,learned_speed_initial_offset,115.6973888888889,14.421260009524223,12.464637402814526,S1
15,26097,26247,learned_speed_preoutage_mean_offset,115.6973888888889,2.2371912144509927,1.9336574800313782,S1
15,26247,26397,original_learned_speed,156.1853055555556,3.197871188512145,2.0474853105656936,S1
15,26247,26397,constant_speed_with_gyro,156.1853055555556,17.793146648082327,11.392330786043921,S1
15,26247,26397,learned_speed_initial_offset,156.1853055555556,31.022452179738917,19.862593391478903,S1
15,26247,26397,learned_speed_preoutage_mean_offset,156.1853055555556,2.2603916303613834,1.4472498691993498,S1
15,26397,26547,original_learned_speed,165.17830555555557,7.446945968572767,4.508428599945944,S1
15,26397,26547,constant_speed_with_gyro,165.17830555555557,10.822706325414611,6.552135456901472,S1
15,26397,26547,learned_speed_initial_offset,165.17830555555557,11.253474081936421,6.812925004943499,S1
15,26397,26547,learned_speed_preoutage_mean_offset,165.17830555555557,6.641151126532198,4.020595261705559,S1
15,26547,26697,original_learned_speed,115.99416666666667,13.933657909802648,12.012378130914039,S1
15,26547,26697,constant_speed_with_gyro,115.99416666666667,38.152763122899636,32.891967087051476,S1
15,26547,26697,learned_speed_initial_offset,115.99416666666667,22.289411240054,19.215976010334426,S1
15,26547,26697,learned_speed_preoutage_mean_offset,115.99416666666667,15.63131279364097,13.475947319455116,S1
15,26697,26847,original_learned_speed,21.929055555555554,46.64793904507051,,S1
15,26697,26847,constant_speed_with_gyro,21.929055555555554,57.579516809628785,,S1
15,26697,26847,learned_speed_initial_offset,21.929055555555554,23.056992175746718,,S1
15,26697,26847,learned_speed_preoutage_mean_offset,21.929055555555554,48.05326606512904,,S1
15,26847,26997,original_learned_speed,46.45077777777777,93.67164935244016,,S1
15,26847,26997,constant_speed_with_gyro,46.45077777777777,41.76638721094076,,S1
15,26847,26997,learned_speed_initial_offset,46.45077777777777,75.7612195110799,,S1
15,26847,26997,learned_speed_preoutage_mean_offset,46.45077777777777,91.87927801270159,,S1
15,26997,27147,original_learned_speed,140.48594444444447,8.001642006834041,5.695688660155117,S1
15,26997,27147,constant_speed_with_gyro,140.48594444444447,38.003385199011696,27.051378947052054,S1
15,26997,27147,learned_speed_initial_offset,140.48594444444447,16.449306524034338,11.708862825447465,S1
15,26997,27147,learned_speed_preoutage_mean_offset,140.48594444444447,10.876305523932746,7.741917219507899,S1
15,27147,27297,original_learned_speed,117.59113888888888,15.194541913712781,12.921502468030356,S1
15,27147,27297,constant_speed_with_gyro,117.59113888888888,30.598569135169136,26.021152124465374,S1
15,27147,27297,learned_speed_initial_offset,117.59113888888888,11.912063908877004,10.130069341477029,S1
15,27147,27297,learned_speed_preoutage_mean_offset,117.59113888888888,11.904787535959674,10.123881483287981,S1
15,27297,27447,original_learned_speed,47.29725,17.34782608798131,,S1
15,27297,27447,constant_speed_with_gyro,47.29725,24.470633635547944,,S1
15,27297,27447,learned_speed_initial_offset,47.29725,19.348913664934976,,S1
15,27297,27447,learned_speed_preoutage_mean_offset,47.29725,12.87138631984676,,S1
15,27447,27597,original_learned_speed,76.44380555555556,24.912514194810115,32.589317098695375,S1
15,27447,27597,constant_speed_with_gyro,76.44380555555556,47.43557045960607,62.05286368838905,S1
15,27447,27597,learned_speed_initial_offset,76.44380555555556,16.42745701557507,21.489585580137568,S1
15,27447,27597,learned_speed_preoutage_mean_offset,76.44380555555556,18.588133406893395,24.316075412264063,S1
15,27597,27747,original_learned_speed,169.00650000000002,31.31743414665568,18.53031341791924,S1
15,27597,27747,constant_speed_with_gyro,169.00650000000002,50.408897534634846,29.826602843461547,S1
15,27597,27747,learned_speed_initial_offset,169.00650000000002,19.867603093870674,11.75552602643725,S1
15,27597,27747,learned_speed_preoutage_mean_offset,169.00650000000002,41.390823955974156,24.49066985942798,S1
15,27747,27897,original_learned_speed,198.4208888888889,7.947418023927113,4.005333343898829,S1
15,27747,27897,constant_speed_with_gyro,198.4208888888889,6.828744812432825,3.4415453184753972,S1
15,27747,27897,learned_speed_initial_offset,198.4208888888889,17.663967280883675,8.90227202377623,S1
15,27747,27897,learned_speed_preoutage_mean_offset,198.4208888888889,15.179277767289665,7.650040201054492,S1
15,27897,28047,original_learned_speed,201.41499999999996,5.377631156499083,2.669925852840694,S1
15,27897,28047,constant_speed_with_gyro,201.41499999999996,11.32271626555895,5.6215854159615475,S1
15,27897,28047,learned_speed_initial_offset,201.41499999999996,9.40266302394294,4.66830326636196,S1
15,27897,28047,learned_speed_preoutage_mean_offset,201.41499999999996,9.476900002991789,4.7051609875092675,S1
15,28047,28197,original_learned_speed,208.62572222222227,19.65929443469478,9.423236130851713,S1
15,28047,28197,constant_speed_with_gyro,208.62572222222227,13.091161205060047,6.274950694294403,S1
15,28047,28197,learned_speed_initial_offset,208.62572222222227,16.69381276026984,8.001799865544891,S1
15,28047,28197,learned_speed_preoutage_mean_offset,208.62572222222227,20.98833288516671,10.06028051651777,S1
15,28197,28347,original_learned_speed,206.96402777777777,12.170777940471831,5.880624798015569,S1
15,28197,28347,constant_speed_with_gyro,206.96402777777777,9.064123997175898,4.379564939134382,S1
15,28197,28347,learned_speed_initial_offset,206.96402777777777,13.538193250595139,6.541326720376461,S1
15,28197,28347,learned_speed_preoutage_mean_offset,206.96402777777777,10.9922702843982,5.311198473679138,S1
15,28347,28497,original_learned_speed,204.65194444444444,11.299999264226342,5.521569460237345,S1
15,28347,28497,constant_speed_with_gyro,204.65194444444444,9.883678789231045,4.829506416888262,S1
15,28347,28497,learned_speed_initial_offset,204.65194444444444,5.668156322591556,2.7696567154436464,S1
15,28347,28497,learned_speed_preoutage_mean_offset,204.65194444444444,9.127045042436302,4.459789066364802,S1
15,28497,28647,original_learned_speed,191.41844444444448,9.109517956850608,4.758955169283319,S1
15,28497,28647,constant_speed_with_gyro,191.41844444444448,4.235174920896264,2.212521856599583,S1
15,28497,28647,learned_speed_initial_offset,191.41844444444448,4.18328070790864,2.1854115051712046,S1
15,28497,28647,learned_speed_preoutage_mean_offset,191.41844444444448,13.99168590647398,7.309476339692437,S1
15,28647,28797,original_learned_speed,87.10569444444445,57.456935724245945,65.96231864139682,S1
15,28647,28797,constant_speed_with_gyro,87.10569444444445,78.47964574011448,90.09703239340841,S1
15,28647,28797,learned_speed_initial_offset,87.10569444444445,27.597621473211948,31.68291309681661,S1
15,28647,28797,learned_speed_preoutage_mean_offset,87.10569444444445,62.660786816382654,71.93649877431075,S1
15,28797,28947,original_learned_speed,111.27494444444444,8.527569161425172,7.663512396254378,S1
15,28797,28947,constant_speed_with_gyro,111.27494444444444,21.536150927612752,19.353998364263372,S1
